COL0,COL1,COL2,COL3
155190,1,21168.23,0.04
67310,2,45983.16,0.09
63700,3,13309.60,0.10
2132,4,28955.64,0.09
24027,5,22824.48,0.10
15635,6,49620.16,0.07
106170,1,44694.46,0.00
4297,1,54058.05,0.06
19036,2,46796.47,0.10
128449,3,39890.88,0.06
29380,4,2618.76,0.01
183095,5,32986.52,0.04
62143,6,28733.64,0.10
88035,1,30690.90,0.03
108570,1,23678.55,0.02
123927,2,50723.92,0.07
37531,3,73426.50,0.08
139636,1,61998.31,0.08
182052,1,13608.60,0.07
145243,2,11594.16,0.08
94780,3,81639.88,0.10
163073,4,31809.96,0.03
151894,5,73943.82,0.08
79251,6,43058.75,0.06
157238,7,6476.15,0.04
82704,1,47227.60,0.05
197921,2,64605.44,0.02
44161,3,2210.32,0.09
2743,4,6582.96,0.09
85811,5,79059.64,0.05
11615,6,9159.66,0.04
61336,1,40217.23,0.09
60519,2,47344.32,0.02
137469,3,7532.30,0.05
33918,4,75928.31,0.09
88362,1,17554.68,0.00
89414,2,30875.02,0.08
169544,3,9681.24,0.02
450,1,32410.80,0.02
161940,2,68065.96,0.06
120896,3,13418.23,0.06
85175,4,29004.25,0.06
119917,5,65854.94,0.08
30762,6,47397.28,0.03
119767,1,75043.92,0.09
22630,1,62105.20,0.09
126782,2,70542.42,0.05
12903,3,78083.70,0.05
175839,1,84252.52,0.04
2320,1,53782.08,0.09
186582,2,43383.08,0.08
67831,3,82746.18,0.06
20590,4,48338.88,0.07
54519,5,63360.93,0.01
94368,6,54494.40,0.06
85951,1,40675.95,0.05
59694,1,42995.94,0.03
73815,2,39353.82,0.00
1388,3,27076.98,0.09
115118,1,35126.41,0.00
173489,2,64061.68,0.04
21636,1,6230.52,0.09
20193,2,13358.28,0.09
173600,3,8368.00,0.03
87514,4,66066.44,0.08
40613,5,35733.03,0.05
178306,6,40144.70,0.02
7068,1,2925.18,0.05
175180,2,57738.28,0.02
34980,3,88089.08,0.04
94728,4,34454.40,0.07
82758,5,47000.25,0.03
102561,6,46906.80,0.05
139247,7,52735.84,0.09
115209,1,58761.60,0.01
104180,2,37893.76,0.08
137267,3,22172.42,0.09
37502,4,4318.50,0.09
92070,5,44606.94,0.07
18504,6,32717.50,0.05
64128,1,8736.96,0.03
196156,2,16277.95,0.06
179809,3,1888.80,0.03
45734,4,18477.03,0.01
37131,5,39520.81,0.09
55655,6,30602.35,0.06
61931,1,47323.25,0.09
65916,2,5645.73,0.09
34432,3,61489.35,0.00
96645,4,54174.12,0.00
103255,5,49071.75,0.08
195635,6,58841.42,0.04
123076,1,25278.61,0.10
135390,2,42761.70,0.01
119477,1,19454.11,0.00
49568,2,56149.72,0.02
77699,3,31857.11,0.06
40216,1,32373.88,0.06
109743,2,1752.74,0.00
44706,3,23109.80,0.05
167180,4,12471.80,0.03
87114,1,11011.10,0.02
123766,2,8948.80,0.02
134082,3,46875.36,0.02
108338,4,48467.88,0.09
62029,1,27748.56,0.04
115979,2,43889.34,0.00
46150,3,50422.90,0.03
38024,4,13468.28,0.06
53439,5,51519.91,0.05
118282,1,63713.72,0.10
163334,2,50303.88,0.00
138418,3,17476.92,0.06
88914,1,70407.67,0.06
169238,2,44445.82,0.03
182321,3,35083.00,0.01
61158,4,16787.25,0.07
194658,1,10515.90,0.03
10426,2,49447.54,0.02
28431,3,31266.89,0.01
29022,4,30432.64,0.01
106828,1,69723.16,0.06
2867,1,81413.56,0.08
185164,2,44969.76,0.01
39444,3,45653.52,0.04
135137,4,39852.42,0.00
31373,5,31304.88,0.06
77050,6,22595.10,0.06
168569,7,1637.56,0.05
128816,1,25827.34,0.08
1739,2,78755.04,0.03
11860,3,31893.48,0.04
115635,4,21458.19,0.09
69130,5,34073.03,0.06
167505,1,70762.50,0.10
44255,2,59962.50,0.02
189021,3,4440.08,0.04
140449,1,26809.92,0.00
119053,2,46098.15,0.01
114419,3,45869.12,0.04
28082,4,23231.84,0.10
103432,1,38756.61,0.00
176279,2,16263.24,0.02
117350,3,39653.15,0.09
89855,4,20293.35,0.06
641,1,32374.44,0.00
164645,2,59837.40,0.06
188252,3,34846.50,0.09
144002,4,49162.00,0.05
35172,5,13286.04,0.05
133103,6,13633.20,0.00
108205,1,57020.40,0.06
198344,2,30289.14,0.00
157510,3,51727.83,0.02
67005,4,33048.00,0.02
136248,5,25684.80,0.01
115000,6,13195.00,0.04
14785,1,61192.08,0.07
86382,2,30104.36,0.00
20080,3,34002.72,0.01
102810,1,34443.39,0.01
189288,1,2754.56,0.02
167545,1,69339.22,0.01
120702,2,22395.10,0.01
36818,3,47379.87,0.04
192642,4,8673.20,0.02
126090,5,13393.08,0.10
190825,6,38316.40,0.00
91309,1,33807.80,0.09
18488,2,33755.52,0.05
125509,3,58311.00,0.03
17526,4,46192.64,0.05
147505,5,66757.50,0.06
108896,6,51432.03,0.10
3037,7,21620.69,0.09
33175,1,3324.51,0.01
161627,2,72610.66,0.08
58520,3,22177.80,0.00
139190,4,60230.31,0.07
155084,5,30755.16,0.01
64888,1,68556.56,0.09
166366,2,18620.68,0.09
99652,3,67717.65,0.07
45027,4,7776.16,0.05
101171,1,32820.76,0.06
171555,2,43916.85,0.09
97017,1,23322.23,0.00
161368,2,28587.20,0.07
110252,3,18933.75,0.09
196400,4,2992.80,0.06
82915,5,47447.75,0.02
141003,6,46980.00,0.00
92638,1,14675.67,0.06
153954,2,30119.25,0.02
93878,3,43053.01,0.06
2594,1,25442.03,0.05
183523,2,1606.52,0.04
65994,3,25479.87,0.08
145146,4,42881.04,0.00
56176,5,9057.36,0.04
148984,6,32527.68,0.06
167828,7,39812.22,0.02
84590,1,9447.54,0.04
93847,2,75474.44,0.05
85446,3,48668.96,0.08
85442,4,58525.04,0.06
135052,1,20653.95,0.03
9852,2,26427.75,0.03
98494,1,58207.11,0.02
177103,2,9440.80,0.09
155829,3,32041.94,0.06
17936,4,46348.25,0.04
41466,5,19704.44,0.09
105880,6,1885.88,0.07
56061,1,33562.98,0.07
15229,2,22884.40,0.03
148058,3,16590.75,0.04
10371,4,44847.95,0.08
101952,5,64480.35,0.02
132072,1,55203.50,0.02
133998,2,60959.70,0.08
150111,1,18577.76,0.04
108609,2,54998.40,0.04
189967,3,84335.36,0.07
166377,4,17320.44,0.08
93857,5,83288.25,0.07
50010,6,3840.04,0.02
171925,1,7987.68,0.09
130565,2,4786.68,0.00
198212,3,58959.45,0.06
146071,4,26809.68,0.00
7589,5,46393.98,0.04
131835,6,22401.96,0.00
141233,7,56066.12,0.10
96909,1,7623.60,0.00
137802,2,84630.80,0.06
37309,3,43620.50,0.09
40633,4,70813.35,0.10
117956,5,3947.90,0.07
82937,6,92156.64,0.02
117961,7,27705.44,0.09
165335,1,26606.27,0.05
174102,2,28226.40,0.07
4039,1,2829.09,0.10
83580,1,31271.60,0.02
128904,2,56054.10,0.07
78526,3,42126.56,0.02
176948,4,6074.82,0.02
155180,5,40760.94,0.03
105393,6,40553.31,0.04
185863,1,89647.56,0.09
194908,2,12017.40,0.03
7367,3,1274.36,0.07
9164,4,47219.04,0.08
18923,5,14735.36,0.09
33927,6,14887.36,0.00
158356,1,22629.60,0.04
83359,2,61748.10,0.04
198124,3,61106.00,0.09
56760,4,53219.56,0.08
88233,1,26867.06,0.09
118399,2,56695.60,0.10
129111,3,51304.95,0.02
146229,1,8926.54,0.05
106194,1,9601.52,0.00
196119,2,48604.40,0.10
161762,3,82069.20,0.07
132912,4,60292.21,0.02
35959,5,47373.75,0.08
146467,6,54484.56,0.09
98779,1,24888.78,0.00
161982,2,28615.72,0.03
23514,3,60375.42,0.09
195335,4,4290.99,0.08
192201,5,7759.20,0.00
155887,1,97144.00,0.07
182736,2,47286.98,0.02
41222,3,31406.94,0.05
5337,4,36027.57,0.10
95286,5,56376.32,0.01
1349,1,42511.56,0.05
65662,2,32553.20,0.00
173959,3,56922.60,0.08
118455,4,72199.05,0.04
60469,5,70043.54,0.01
96989,6,39719.60,0.06
191186,1,49810.02,0.01
60074,2,34124.31,0.09
58695,3,57879.15,0.05
23960,1,41447.12,0.06
84557,2,13873.95,0.08
142891,3,96694.50,0.06
50641,1,49340.84,0.00
116386,2,68716.62,0.08
98833,3,65945.88,0.02
78406,4,26303.60,0.07
161894,5,60632.59,0.10
173280,1,33832.00,0.07
111800,2,10870.80,0.06
16996,3,84171.56,0.10
39439,4,66164.64,0.01
46285,5,16006.64,0.10
5351,1,43972.25,0.01
128923,2,3903.84,0.05
1888,3,8949.40,0.03
123741,4,40589.02,0.05
122565,1,33338.76,0.05
137316,2,25712.89,0.08
60874,3,55046.10,0.10
153561,1,12916.48,0.10
99249,2,29957.76,0.08
8960,1,26165.44,0.02
186406,2,16416.40,0.10
117267,3,16695.38,0.04
59620,1,48968.22,0.00
197507,1,46530.50,0.02
91344,2,34718.84,0.04
15283,3,9586.24,0.10
60621,4,41122.12,0.10
4415,1,39582.30,0.05
192158,2,16251.95,0.03
318,1,25584.51,0.01
140433,2,60410.63,0.08
152499,1,18617.88,0.08
43662,2,77071.68,0.02
12673,3,31713.40,0.04
183246,4,13292.40,0.06
11605,5,53081.00,0.07
33310,6,3729.93,0.08
37435,7,6862.15,0.01
163628,1,84581.00,0.05
95136,2,20360.34,0.06
142725,3,15909.48,0.07
199475,1,40936.22,0.07
158791,1,62892.86,0.09
185139,2,6120.65,0.07
18788,3,59737.30,0.07
179094,1,48096.69,0.06
19480,2,53180.24,0.02
183739,3,45568.25,0.03
84836,4,9104.15,0.03
34543,5,45803.74,0.04
156712,6,72517.11,0.02
42134,7,50578.11,0.04
143503,1,24744.00,0.03
41715,2,14910.39,0.09
63762,1,29337.92,0.07
119305,1,54296.30,0.00
147542,2,46096.66,0.09
134318,3,16227.72,0.06
77071,4,48211.22,0.00
116803,5,16378.20,0.02
102699,6,66365.91,0.02
49480,1,20012.72,0.08
193864,2,46988.64,0.01
58125,3,54156.00,0.08
106672,4,11750.69,0.06
30527,5,26235.36,0.04
61082,6,37550.88,0.03
4660,7,21905.24,0.01
113959,1,61161.45,0.09
96030,2,42067.23,0.05
45214,1,4636.84,0.10
107463,2,70582.08,0.02
118002,3,35700.00,0.08
55342,4,53190.94,0.07
124271,5,47924.99,0.05
113143,1,30059.64,0.06
185814,2,68393.16,0.07
164807,3,59897.60,0.05
190028,1,45838.82,0.06
189955,2,65438.40,0.05
168710,3,71148.40,0.09
96557,4,23303.25,0.08
28629,5,28037.16,0.01
161283,6,43016.96,0.03
82916,7,85450.95,0.05
165980,1,61379.40,0.00
11158,2,19244.70,0.00
131463,3,25405.82,0.07
89985,4,75049.24,0.10
167239,5,14368.53,0.01
182663,6,40150.18,0.04
178442,1,57776.72,0.07
63342,2,63961.66,0.09
181502,3,17418.50,0.02
92053,4,11495.55,0.00
131403,5,20081.60,0.08
166446,1,10587.08,0.05
53025,2,44988.92,0.08
152405,1,56838.60,0.10
68123,2,17457.92,0.06
130081,3,41109.96,0.09
136667,1,1703.66,0.08
152800,2,77817.60,0.07
96392,3,55535.60,0.09
55927,4,35775.48,0.08
148313,5,43561.92,0.08
32590,1,63948.78,0.05
127808,2,84446.80,0.07
64486,3,58019.20,0.06
189295,1,2768.58,0.09
106523,1,15295.20,0.02
123353,2,23397.95,0.09
183266,3,62065.96,0.07
141937,4,83115.06,0.01
127657,5,21900.45,0.02
124632,6,18222.93,0.09
84937,7,46126.32,0.05
121586,1,22506.12,0.09
93563,1,38914.00,0.00
110869,2,41356.92,0.10
174101,3,29377.50,0.07
39560,1,58482.84,0.01
69212,2,21261.78,0.00
44192,3,46583.79,0.10
131087,4,2236.16,0.01
18552,1,45587.05,0.00
1062,2,963.06,0.04
34829,3,5291.46,0.04
152691,1,57541.77,0.05
64192,2,36998.08,0.01
70495,3,21982.35,0.07
8756,4,24971.25,0.01
148401,5,24639.80,0.01
100885,1,9429.40,0.04
161079,2,25081.54,0.05
47557,3,67704.75,0.09
74795,4,21237.48,0.08
72918,5,69963.67,0.02
123736,6,70389.20,0.01
15978,7,73864.83,0.00
133070,1,1103.07,0.02
151816,1,46695.25,0.10
170666,2,17366.60,0.02
175984,3,94759.08,0.09
161622,4,42090.50,0.10
131890,1,51891.03,0.06
125197,1,4888.76,0.00
172359,2,65842.10,0.05
26809,3,60753.00,0.10
169045,4,8912.32,0.10
137283,5,30366.44,0.02
151908,1,23518.80,0.02
108408,2,5665.60,0.10
9982,3,5675.94,0.07
157659,4,37766.30,0.07
161582,1,69030.36,0.03
106298,2,6521.45,0.03
142528,3,50256.64,0.06
56267,4,48930.40,0.05
78048,5,2052.08,0.09
152726,6,58697.76,0.08
129532,1,56215.08,0.02
32028,2,40320.84,0.05
86136,3,1122.13,0.07
76558,4,42967.40,0.04
114639,1,3307.26,0.04
197917,1,90670.95,0.01
175131,2,45832.94,0.08
13144,3,40171.32,0.10
95748,4,78468.30,0.10
25722,5,52727.04,0.04
94318,6,36744.68,0.07
117595,1,38702.16,0.06
156485,1,64742.16,0.10
27230,2,50918.12,0.05
48360,3,58876.20,0.04
170012,4,11902.11,0.01
52148,1,24203.08,0.04
18649,1,26649.88,0.07
20646,2,29766.16,0.08
185785,3,78572.76,0.08
81009,4,10890.00,0.05
111956,5,61006.45,0.05
137343,1,44170.88,0.00
121382,2,1403.38,0.05
61141,3,34166.34,0.04
195826,4,15374.56,0.02
38215,5,53047.66,0.01
78696,6,31819.11,0.04
32694,1,13013.52,0.00
79758,2,39968.25,0.04
87745,3,15594.66,0.04
30133,1,52093.37,0.10
31950,2,84687.75,0.06
183351,3,71717.50,0.06
164805,4,41135.60,0.07
76308,5,61646.40,0.00
96871,6,18678.70,0.01
149523,1,78626.00,0.01
27973,2,76038.80,0.08
136884,3,42259.36,0.00
75437,1,50847.48,0.00
67040,2,40281.60,0.03
135912,3,50645.66,0.04
71865,4,69800.68,0.08
28099,5,3081.27,0.07
46543,6,68518.84,0.00
