COL0,COL1,COL2,COL3
91896,1,88730.83,0.06
82099,2,2162.18,0.02
188804,1,35963.20,0.08
22847,2,65484.08,0.01
179419,3,59936.40,0.05
82470,4,14524.70,0.09
64154,5,6708.90,0.03
32014,6,11352.12,0.04
50769,7,3439.52,0.09
61732,1,33874.60,0.09
121628,2,72583.28,0.01
78713,1,35525.91,0.06
117452,2,49961.30,0.08
12812,3,10348.86,0.06
115362,4,59226.48,0.00
104014,1,10180.10,0.03
147605,2,62798.80,0.10
182145,3,13498.54,0.00
108606,4,54896.40,0.09
130881,5,61180.16,0.01
108692,6,42517.25,0.04
24974,1,20888.67,0.01
44551,1,41875.40,0.03
155391,2,21695.85,0.02
40932,3,16856.37,0.04
132197,4,13521.09,0.06
23349,5,29263.82,0.00
164711,1,53271.30,0.07
83164,2,26384.68,0.05
133178,3,14534.04,0.01
121990,4,92551.54,0.07
70019,5,15824.16,0.01
196358,6,56719.65,0.09
185956,7,98013.60,0.03
158970,1,2028.97,0.07
2946,2,70259.72,0.05
105900,3,36212.10,0.00
46267,4,32758.02,0.08
9041,5,12350.52,0.06
150926,6,5930.76,0.04
138474,1,71086.09,0.08
169547,1,6466.16,0.02
170188,2,22647.24,0.00
84585,1,25113.28,0.08
70789,1,77430.32,0.08
136347,2,66400.32,0.01
181345,3,4279.02,0.05
196550,1,3293.10,0.06
4641,2,9273.84,0.00
182,3,22725.78,0.03
56720,4,35211.12,0.08
92995,5,37771.81,0.00
152753,6,57784.00,0.06
195061,1,20809.08,0.07
188735,2,69301.74,0.07
65213,3,42415.56,0.08
20101,4,18379.80,0.09
23480,5,53332.24,0.06
190307,1,43316.30,0.04
23786,1,13678.24,0.08
158813,2,37436.20,0.00
161089,3,18401.28,0.07
86490,1,2952.98,0.07
33096,2,6174.54,0.06
36565,3,9009.36,0.08
137608,4,8228.00,0.03
25886,1,45297.00,0.06
63233,2,16747.22,0.08
155542,1,63901.60,0.02
187025,2,25576.46,0.05
150618,1,15017.49,0.00
32145,2,42008.46,0.02
59048,3,6042.24,0.03
6189,4,44902.38,0.04
12612,5,42689.08,0.00
166717,6,8918.55,0.05
84916,1,62730.03,0.03
173320,2,43192.92,0.04
184444,3,29040.36,0.04
63384,1,55242.58,0.09
92527,2,21273.28,0.06
100106,3,54198.90,0.10
74925,4,56997.60,0.10
56409,1,9557.80,0.07
50262,2,59400.74,0.05
140309,3,56670.60,0.07
167750,4,65439.00,0.06
144364,1,1408.36,0.07
119625,2,77297.14,0.10
129431,3,49654.62,0.01
141250,4,42611.25,0.10
188537,5,21131.89,0.04
153579,1,31018.83,0.08
197310,2,56292.40,0.03
65533,1,31469.13,0.01
110792,1,88336.71,0.10
67896,2,20502.79,0.07
117617,3,42499.86,0.09
185206,4,21950.40,0.03
145743,5,69760.86,0.08
94365,6,6796.80,0.00
189280,7,36970.56,0.06
16855,1,69102.15,0.05
80676,2,1656.67,0.08
119545,3,61017.06,0.09
184959,1,10219.75,0.07
194864,2,54848.08,0.07
66130,3,53710.37,0.00
38942,4,52666.32,0.05
87737,5,1724.73,0.08
188203,6,42609.60,0.10
90027,1,17289.34,0.06
78348,2,7958.04,0.05
185016,3,3303.03,0.03
158304,4,9536.10,0.02
194109,1,25265.10,0.00
186897,2,95226.72,0.07
166963,3,87288.28,0.05
146951,4,27971.30,0.04
195308,5,42099.00,0.08
136241,6,61307.52,0.04
104545,1,55783.44,0.10
92997,1,97509.51,0.09
416,2,52656.40,0.09
179475,3,34198.34,0.05
31474,4,63246.15,0.07
125192,1,21909.42,0.01
99477,2,1476.47,0.09
94311,3,52212.40,0.05
70043,4,25326.00,0.03
3794,5,69609.39,0.07
53624,1,41018.12,0.10
12260,1,32823.28,0.00
50168,2,53671.68,0.01
162447,3,34717.12,0.05
44743,4,65821.86,0.08
189459,5,72777.15,0.10
133143,1,54102.44,0.02
129821,2,20359.02,0.05
100047,3,46069.76,0.04
79744,4,12066.18,0.01
49295,5,28618.67,0.02
84932,6,63258.69,0.00
50239,7,45190.74,0.08
159694,1,57871.77,0.01
169422,2,70096.74,0.07
69227,3,55026.12,0.10
95402,4,68472.60,0.05
4703,5,69131.10,0.06
33631,6,28163.34,0.10
27031,7,8622.27,0.03
108975,1,61503.07,0.00
126723,2,1749.72,0.07
29744,3,40169.76,0.06
98738,4,59048.82,0.01
89173,5,19756.89,0.04
114481,6,59819.20,0.10
16310,1,50278.71,0.08
112177,2,5945.85,0.10
152882,3,29023.20,0.08
172190,1,51749.79,0.06
189656,2,15710.85,0.03
142390,3,50133.65,0.02
70495,1,32240.78,0.03
101366,1,31449.28,0.06
58285,2,4973.12,0.02
156455,1,1511.45,0.04
136633,2,58437.05,0.08
175802,3,63845.20,0.10
99269,4,19023.90,0.09
4669,5,72388.36,0.09
50972,1,17306.73,0.09
77668,2,32913.20,0.07
162330,3,48731.55,0.05
72825,4,43147.68,0.01
165127,5,36955.72,0.01
75930,6,62895.69,0.09
142123,7,12816.32,0.07
58986,1,62239.36,0.04
167361,2,55706.04,0.00
23226,3,52864.12,0.01
147638,4,1685.63,0.06
149613,5,41565.25,0.00
145537,1,31650.60,0.05
36553,2,32770.10,0.01
142489,3,24503.68,0.06
198067,4,55922.88,0.08
97451,5,23175.20,0.06
42888,6,20139.68,0.09
191759,1,16656.75,0.09
189981,1,82839.20,0.05
3839,2,24399.62,0.07
188322,1,64874.72,0.05
116218,2,43197.35,0.10
196629,1,39689.26,0.05
154736,1,60884.82,0.01
42642,2,34862.08,0.00
123805,1,5486.40,0.05
179124,2,22859.28,0.06
121298,3,43536.57,0.09
55176,4,5655.85,0.07
142490,5,55169.64,0.08
22352,6,8920.45,0.10
86203,1,8324.40,0.00
197250,2,20208.75,0.08
168496,3,15644.90,0.01
107229,4,49448.80,0.10
162111,1,55136.17,0.06
192916,2,76338.58,0.07
138984,3,14160.86,0.04
89308,4,32432.50,0.00
185454,5,18473.40,0.01
113665,6,35251.86,0.04
159288,7,61974.88,0.03
145767,1,3625.52,0.10
102501,2,40594.50,0.00
127086,3,51201.68,0.10
127682,4,34193.60,0.09
157380,1,66119.48,0.05
79423,2,32255.66,0.02
56626,3,20574.06,0.00
97851,4,25883.90,0.06
168002,5,34240.00,0.04
181815,1,22761.72,0.01
197203,1,44206.80,0.00
187016,2,4412.04,0.00
169700,3,40703.10,0.04
140786,4,21921.36,0.04
174837,5,57354.90,0.02
84489,1,41257.44,0.00
3502,2,70275.00,0.07
48733,3,20180.76,0.05
43470,4,66433.09,0.09
187523,5,48315.60,0.07
1206,1,24358.40,0.10
65211,2,41167.35,0.00
198037,3,32915.87,0.06
186404,1,37260.00,0.03
90396,2,30500.58,0.09
101309,1,60273.80,0.04
95395,2,20855.85,0.08
101553,3,37309.20,0.08
191891,4,31726.24,0.01
100006,5,48288.00,0.09
191966,6,100840.04,0.02
191460,1,32580.66,0.01
195813,1,74443.59,0.06
17862,2,3559.72,0.00
5964,3,56098.80,0.06
24493,4,52447.13,0.10
46500,5,67985.50,0.06
111635,6,70805.09,0.10
48062,7,33331.98,0.01
175068,1,41150.16,0.02
159077,2,4544.28,0.01
180119,1,46765.29,0.09
53281,2,30857.00,0.03
6983,1,22679.76,0.10
160505,2,59489.00,0.03
6393,3,18191.46,0.02
41262,4,8422.82,0.06
77402,5,17932.20,0.09
81921,6,43767.16,0.08
52698,1,57774.15,0.10
83007,2,9900.00,0.05
85119,3,38643.85,0.03
179834,4,19138.30,0.08
53649,5,67310.88,0.02
99317,1,6581.55,0.06
10005,2,28365.00,0.02
150082,3,44151.12,0.06
28056,4,27553.40,0.10
133007,5,9360.00,0.09
39505,6,62113.50,0.07
182652,1,84997.85,0.08
16038,2,2862.09,0.10
147809,3,63131.20,0.02
14993,4,15263.92,0.00
176160,5,54391.04,0.09
119813,6,3665.62,0.07
31640,1,25146.24,0.10
173244,2,27662.04,0.01
107093,3,22001.80,0.01
71833,1,68583.54,0.00
84262,2,26171.46,0.04
175028,3,28678.52,0.01
5111,1,13209.43,0.10
94616,2,33822.81,0.05
2700,3,33656.70,0.05
163556,4,19434.60,0.08
73144,5,50271.30,0.01
121868,6,18898.60,0.08
25641,7,17233.04,0.01
142568,1,64422.40,0.08
132751,2,60647.50,0.08
130920,3,85840.48,0.07
156598,4,29782.62,0.09
131708,5,33054.30,0.08
53401,1,10835.20,0.07
98771,2,37165.17,0.08
125293,1,39548.70,0.08
198375,2,2946.74,0.02
75519,3,65758.44,0.04
37511,4,30418.71,0.01
197826,1,48095.50,0.07
56623,2,45808.98,0.07
46414,3,16324.92,0.01
75351,4,34485.10,0.08
104752,1,1756.75,0.04
159749,2,39792.28,0.08
90335,3,5301.32,0.04
116568,1,77643.44,0.00
154875,2,94563.63,0.01
180228,3,62794.56,0.07
79226,4,12052.20,0.09
142418,5,43812.30,0.02
11627,6,16924.82,0.02
149,7,19933.66,0.08
102949,1,87837.30,0.01
47411,2,32601.84,0.05
53556,1,1509.55,0.04
111833,2,70103.54,0.05
161174,3,11116.53,0.05
144119,1,41871.96,0.06
6951,2,20437.45,0.03
106431,1,47435.19,0.09
184562,2,46103.68,0.02
187915,1,12017.46,0.09
83534,2,27315.54,0.03
140671,3,78736.82,0.05
56565,1,59340.84,0.03
87341,2,31880.16,0.08
133708,1,34834.00,0.10
28244,2,31650.48,0.05
94785,3,40934.94,0.10
43152,4,19712.70,0.09
157077,1,26083.61,0.07
188315,2,65955.57,0.08
129655,1,57278.10,0.03
97941,2,13572.58,0.01
79304,3,43632.20,0.03
197300,1,22356.80,0.07
19188,2,3321.54,0.02
86034,3,15300.45,0.00
168398,4,49857.26,0.09
135703,1,8693.50,0.08
138798,1,12857.53,0.04
167908,1,15807.20,0.06
28659,2,20639.45,0.05
67432,3,26589.17,0.09
121059,4,46442.15,0.02
24498,5,38407.23,0.04
124220,6,23640.18,0.02
62275,1,33406.29,0.07
46068,2,36506.16,0.04
49110,1,38127.96,0.04
185850,2,9679.25,0.06
96392,1,66642.72,0.10
54591,2,72642.73,0.07
107967,3,25674.48,0.09
189917,4,58200.39,0.06
127480,5,12059.84,0.00
142499,6,40078.74,0.00
173371,7,5777.48,0.00
38675,1,75842.49,0.07
197621,2,17186.20,0.03
1925,3,12788.44,0.09
151663,4,18861.26,0.08
187481,5,53328.32,0.00
176862,6,85309.84,0.09
108889,7,20876.68,0.01
90450,1,21606.75,0.07
183170,2,32582.42,0.05
125704,3,22486.10,0.07
101182,4,2366.36,0.08
160159,1,10972.35,0.07
178512,2,58848.87,0.03
48242,3,13092.64,0.01
192166,4,45293.76,0.04
60085,1,18811.44,0.04
46070,2,25401.75,0.00
84976,3,7843.88,0.09
179704,4,24971.80,0.05
70776,5,6987.08,0.06
119083,6,51797.76,0.00
13423,7,14700.62,0.02
198532,1,71743.32,0.01
114624,2,78653.76,0.08
74130,3,26499.12,0.03
21113,1,37227.96,0.01
45222,2,2334.44,0.09
42615,3,57631.57,0.04
17758,4,18433.25,0.00
110509,1,4558.50,0.06
117211,2,9825.68,0.06
164836,3,45619.92,0.02
64367,1,35946.72,0.04
8890,2,62961.15,0.06
8238,3,37825.59,0.02
55408,4,12270.60,0.09
41041,5,982.04,0.04
167067,6,14742.78,0.07
168148,1,35268.06,0.07
47775,2,41346.48,0.05
151774,3,83985.42,0.08
51313,4,54365.33,0.10
11725,5,62195.36,0.02
54038,6,49601.50,0.05
10337,7,13720.63,0.00
128672,1,76530.15,0.09
174218,2,56857.24,0.02
73036,3,14126.42,0.06
101639,4,11484.41,0.06
44804,1,62956.80,0.10
17295,2,56977.63,0.08
64230,3,11942.30,0.07
99635,4,34327.23,0.06
163239,5,65111.50,0.03
144557,6,16015.50,0.00
166196,7,37865.70,0.07
39783,1,31010.04,0.00
16788,2,17047.80,0.05
146052,3,52706.40,0.01
81324,4,49602.16,0.08
43763,1,69977.16,0.01
48267,1,27950.98,0.02
12132,2,28191.51,0.02
99192,3,30970.94,0.05
117900,1,34522.20,0.07
27410,1,30760.43,0.05
64553,2,34903.65,0.02
134031,3,38341.08,0.06
57192,4,14939.47,0.08
12130,5,8337.04,0.02
58299,6,1257.29,0.01
106999,1,2005.99,0.07
116212,2,30705.25,0.06
174776,3,59224.64,0.01
117921,1,13572.44,0.10
90469,2,26270.28,0.09
96938,3,81267.06,0.06
33476,4,40874.63,0.00
25276,5,45648.26,0.03
196988,6,62549.40,0.09
56598,1,55965.24,0.01
35276,2,32704.29,0.09
79649,3,4885.92,0.07
56308,4,25286.00,0.04
151996,5,24575.88,0.02
187354,6,7206.75,0.02
193152,1,8716.05,0.01
97483,2,71063.04,0.10
198936,1,79362.27,0.04
112231,2,1243.23,0.02
56790,3,85592.71,0.01
54514,4,64614.44,0.05
107207,1,24284.00,0.04
17015,2,21436.23,0.06
179337,1,26910.27,0.07
116560,2,66215.52,0.02
21218,3,47846.82,0.06
4189,4,21863.60,0.04
58957,1,78553.95,0.05
84402,2,5545.60,0.01
131550,3,15815.50,0.00
147690,4,85146.81,0.01
16893,5,74205.49,0.08
105311,6,22377.27,0.05
160878,7,34899.66,0.00
59906,1,26122.60,0.10
37967,2,64768.64,0.02
104722,3,51801.60,0.10
47212,4,24343.41,0.06
91050,5,7287.35,0.09
74101,6,44079.10,0.10
174476,1,51165.51,0.01
2145,2,29319.92,0.06
39924,3,18639.20,0.03
190751,4,73670.00,0.01
145484,5,50472.84,0.09
136979,6,70558.95,0.04
4967,7,28079.40,0.09
64486,1,5801.92,0.07
9177,2,11947.87,0.01
30745,3,8378.70,0.08
130471,4,37536.75,0.10
172294,1,20494.35,0.08
128707,2,48599.60,0.08
165067,3,50942.70,0.00
65736,4,42543.25,0.01
23196,5,20145.42,0.06
172396,1,63140.77,0.03
162614,1,18442.71,0.00
47438,2,23552.31,0.03
9924,1,40346.24,0.04
180410,2,10432.87,0.10
141752,3,53812.50,0.05
10143,4,6318.84,0.09
72407,5,1379.40,0.04
60071,1,35056.38,0.00
198758,2,76126.75,0.08
