COL0,COL1,COL2,COL3,COL4,COL5
155190,1,21168.23,0.04,N,blithely regular ideas caj
67310,2,45983.16,0.09,N,slyly bold pinto beans detect s
63700,3,13309.60,0.10,N,deposits wake furiously dogged
2132,4,28955.64,0.09,N,even ideas haggle. even
24027,5,22824.48,0.10,N,carefully final gr
15635,6,49620.16,0.07,N,furiously regular accounts haggle bl
106170,1,44694.46,0.00,N,carefully ironic platelets against t
4297,1,54058.05,0.06,R,blithely s
19036,2,46796.47,0.10,R,final
128449,3,39890.88,0.06,A,carefully silent pinto beans boost fur
29380,4,2618.76,0.01,A,fluffily unusual deposits hag
183095,5,32986.52,0.04,R,blithely pending platelets according
62143,6,28733.64,0.10,A,ideas until the unusual packages c
88035,1,30690.90,0.03,N,special dependencies am
108570,1,23678.55,0.02,R,unusual
123927,2,50723.92,0.07,R,blithely even accoun
37531,3,73426.50,0.08,A,express platelets integr
139636,1,61998.31,0.08,A,ruthlessly unusual warhorses sleep slyly af
182052,1,13608.60,0.07,N,pending requests sleep furiously above
145243,2,11594.16,0.08,N,carefully spe
94780,3,81639.88,0.10,N,carefully exp
163073,4,31809.96,0.03,N,final deposits are quickly. furiously even
151894,5,73943.82,0.08,N,blithely expres
79251,6,43058.75,0.06,N,blithely silent accoun
157238,7,6476.15,0.04,N,furiously pending theodolit
82704,1,47227.60,0.05,N,ironic requests dazzle. final d
197921,2,64605.44,0.02,N,regular accounts cajole
44161,3,2210.32,0.09,N,furiously bold deposits 
2743,4,6582.96,0.09,N,slyly bold requests nag. fluffily
85811,5,79059.64,0.05,N,slyly ironic notornis bo
11615,6,9159.66,0.04,N,requests integrat
61336,1,40217.23,0.09,A,slyly even requests are f
60519,2,47344.32,0.02,A,special theodolites boost 
137469,3,7532.30,0.05,A,bold requests affix alongside of the slyly 
33918,4,75928.31,0.09,R,furiously regular deposits are carefully id
88362,1,17554.68,0.00,N,regular deposits grow. regu
89414,2,30875.02,0.08,N,carefully idle ins
169544,3,9681.24,0.02,N,furiously final ideas thrash carefully bo
450,1,32410.80,0.02,N,dolphins along the slyly ir
161940,2,68065.96,0.06,N,fluffily final deposits are bl
120896,3,13418.23,0.06,N,quickly even depo
85175,4,29004.25,0.06,N,slyly special excuses wake carefully ironic
119917,5,65854.94,0.08,N,quickly regular instructions try t
30762,6,47397.28,0.03,N,slyly final foxes haggle blithely de
119767,1,75043.92,0.09,N,accounts sleep furiously bli
22630,1,62105.20,0.09,A,slyly final accounts caj
126782,2,70542.42,0.05,A,regular
12903,3,78083.70,0.05,A,fluffily f
175839,1,84252.52,0.04,N,carefully final packages
2320,1,53782.08,0.09,N,theodolites are bold foxes. fi
186582,2,43383.08,0.08,N,carefully even instructions sleep car
67831,3,82746.18,0.06,N,ideas cajole 
20590,4,48338.88,0.07,N,final theodolites
54519,5,63360.93,0.01,N,ideas haggle 
94368,6,54494.40,0.06,N,enticingly even
85951,1,40675.95,0.05,R,furiously regular
59694,1,42995.94,0.03,A,silent
73815,2,39353.82,0.00,N,regular
1388,3,27076.98,0.09,N,ironically regular theodolites ha
115118,1,35126.41,0.00,R,closely bo
173489,2,64061.68,0.04,A,furiously final waters are sl
21636,1,6230.52,0.09,N,carefully final theodolites inte
20193,2,13358.28,0.09,N,carefully bold pa
173600,3,8368.00,0.03,N,bold excuses wake quickly ac
87514,4,66066.44,0.08,N,pending ideas after the deposits cajole f
40613,5,35733.03,0.05,N,unusual depos
178306,6,40144.70,0.02,N,furiously regular ideas abov
7068,1,2925.18,0.05,N,ironic
175180,2,57738.28,0.02,N,special reque
34980,3,88089.08,0.04,N,blithely ironic packages sleep f
94728,4,34454.40,0.07,N,fluffily specia
82758,5,47000.25,0.03,N,quickly fi
102561,6,46906.80,0.05,N,final
139247,7,52735.84,0.09,N,final
115209,1,58761.60,0.01,A,dependencies serve
104180,2,37893.76,0.08,A,express attainment
137267,3,22172.42,0.09,A,carefully regular requests sleep a
37502,4,4318.50,0.09,R,regular dependencies are car
92070,5,44606.94,0.07,R,ideas are carefully pending asymptotes. 
18504,6,32717.50,0.05,A,sly theodolites along th
64128,1,8736.96,0.03,R,even pinto beans are alongside o
196156,2,16277.95,0.06,A,excuses haggl
179809,3,1888.80,0.03,R,even packages haggle carefull
45734,4,18477.03,0.01,A,regular
37131,5,39520.81,0.09,R,fluffily even deposits nag fluffil
55655,6,30602.35,0.06,A,slyly special ideas after the r
61931,1,47323.25,0.09,N,unusual platelets are
65916,2,5645.73,0.09,N,slyly regu
34432,3,61489.35,0.00,N,accounts lose about the iro
96645,4,54174.12,0.00,N,pending accounts sleep furiously pinto 
103255,5,49071.75,0.08,N,bravely regular packag
195635,6,58841.42,0.04,N,quickly express ideas detect blithely acros
123076,1,25278.61,0.10,A,furiously express f
135390,2,42761.70,0.01,R,regular ide
119477,1,19454.11,0.00,R,slyly final packages affix f
49568,2,56149.72,0.02,A,blithely bold deposits are at th
77699,3,31857.11,0.06,R,permanent hockey players
40216,1,32373.88,0.06,A,final
109743,2,1752.74,0.00,A,carefully pen
44706,3,23109.80,0.05,A,regular deposits wake
167180,4,12471.80,0.03,A,regular braids s
87114,1,11011.10,0.02,A,unusual
123766,2,8948.80,0.02,R,blithely unusual t
134082,3,46875.36,0.02,A,blithely regular deposits
108338,4,48467.88,0.09,A,quickly regular packages cajole furious
62029,1,27748.56,0.04,N,stealthily ironic packages according to th
115979,2,43889.34,0.00,N,regular depo
46150,3,50422.90,0.03,N,furiously regular accounts hagg
38024,4,13468.28,0.06,N,carefully even pinto beans after the dog
53439,5,51519.91,0.05,N,slyly special packages nag against t
118282,1,63713.72,0.10,N,carefully even 
163334,2,50303.88,0.00,N,final deposit
138418,3,17476.92,0.06,N,final packages gr
88914,1,70407.67,0.06,N,fluffily regular ideas ar
169238,2,44445.82,0.03,N,quickly express packa
182321,3,35083.00,0.01,N,instructions sleep. carefully even de
61158,4,16787.25,0.07,N,carefully qu
194658,1,10515.90,0.03,N,carefully bold packages are slyly even
10426,2,49447.54,0.02,N,furiously even ideas cajole 
28431,3,31266.89,0.01,N,dolphins b
29022,4,30432.64,0.01,N,platelets sleep quick
106828,1,69723.16,0.06,A,carefully bold ac
2867,1,81413.56,0.08,R,even accounts after the
185164,2,44969.76,0.01,A,blithely regular dolphins int
39444,3,45653.52,0.04,A,deposits serve slyly quickly ironi
135137,4,39852.42,0.00,R,carefully regular foxes are furiou
31373,5,31304.88,0.06,A,furiously unusual theodolites acr
77050,6,22595.10,0.06,R,final realms affi
168569,7,1637.56,0.05,R,busily express i
128816,1,25827.34,0.08,A,carefully bold theodolites 
1739,2,78755.04,0.03,R,express
11860,3,31893.48,0.04,A,blithely unusua
115635,4,21458.19,0.09,R,carefully busy asymp
69130,5,34073.03,0.06,R,fluffily even pla
167505,1,70762.50,0.10,R,express asymptotes eat
44255,2,59962.50,0.02,A,ironic asymptotes eat ruthlessl
189021,3,4440.08,0.04,A,slyly final excuses haggle furiou
140449,1,26809.92,0.00,R,bold
119053,2,46098.15,0.01,R,ironic
114419,3,45869.12,0.04,A,furiously ironic requests
28082,4,23231.84,0.10,A,blithely pending pac
103432,1,38756.61,0.00,N,furiously final ideas s
176279,2,16263.24,0.02,N,finally brave dependencies could have to d
117350,3,39653.15,0.09,N,ironic
89855,4,20293.35,0.06,N,carefully regular 
641,1,32374.44,0.00,A,quickly final packages
164645,2,59837.40,0.06,A,slowly bold ideas haggle cl
188252,3,34846.50,0.09,A,pending accounts could have
144002,4,49162.00,0.05,A,final
35172,5,13286.04,0.05,A,silent Tiresias cajole. furiously bo
133103,6,13633.20,0.00,A,even
108205,1,57020.40,0.06,N,final deposits wa
198344,2,30289.14,0.00,N,furiously express escapades against t
157510,3,51727.83,0.02,N,furiously fina
67005,4,33048.00,0.02,N,bold
136248,5,25684.80,0.01,N,bold dugouts above the ironic dependenc
115000,6,13195.00,0.04,N,quickly regular pack
14785,1,61192.08,0.07,N,foxes are blithely carefully even accounts.
86382,2,30104.36,0.00,N,slyly fina
20080,3,34002.72,0.01,N,slyly unusual de
102810,1,34443.39,0.01,A,carefully quiet warthogs cajole 
189288,1,2754.56,0.02,N,carefully ironic requests wake fluffily
167545,1,69339.22,0.01,N,final accounts cajole. carefully sil
120702,2,22395.10,0.01,N,furiously express ideas affix. requests 
36818,3,47379.87,0.04,N,carefully special requests are after the
192642,4,8673.20,0.02,N,carefully 
126090,5,13393.08,0.10,N,quickly final the
190825,6,38316.40,0.00,N,furiously bold requests a
91309,1,33807.80,0.09,A,ironic foxes bey
18488,2,33755.52,0.05,R,ironic platelets detec
125509,3,58311.00,0.03,R,furiously ironic pinto 
17526,4,46192.64,0.05,R,unusual reque
147505,5,66757.50,0.06,R,express
108896,6,51432.03,0.10,R,furiously ironic packages detect above
3037,7,21620.69,0.09,A,even accounts cajole quickly
33175,1,3324.51,0.01,R,express packages are blithely. furiously e
161627,2,72610.66,0.08,R,carefully regular warhors
58520,3,22177.80,0.00,R,depths solve slyly across th
139190,4,60230.31,0.07,A,express in
155084,5,30755.16,0.01,R,asymptotes sublate alongside
64888,1,68556.56,0.09,N,furiously silent ideas sleep blith
166366,2,18620.68,0.09,N,regular
99652,3,67717.65,0.07,N,final dolphins h
45027,4,7776.16,0.05,N,deposits aro
101171,1,32820.76,0.06,R,blithely even
171555,2,43916.85,0.09,R,asymptotes cajole careful
97017,1,23322.23,0.00,N,regular braids are carefull
161368,2,28587.20,0.07,N,idly ironic ideas about t
110252,3,18933.75,0.09,N,silent
196400,4,2992.80,0.06,N,carefully final packages print b
82915,5,47447.75,0.02,N,accounts abou
141003,6,46980.00,0.00,N,fluffily regular requests detect car
92638,1,14675.67,0.06,A,daring
153954,2,30119.25,0.02,R,pinto beans doubt f
93878,3,43053.01,0.06,A,blithely pending dependencies ca
2594,1,25442.03,0.05,R,carefully unusual attainment
183523,2,1606.52,0.04,R,furiously i
65994,3,25479.87,0.08,A,regular
145146,4,42881.04,0.00,R,theodolites against the fluffily
56176,5,9057.36,0.04,R,busy
148984,6,32527.68,0.06,A,slyly unusual requests sleep furiousl
167828,7,39812.22,0.02,R,foxes breach blit
84590,1,9447.54,0.04,A,furiously silent requests 
93847,2,75474.44,0.05,A,slyly regular
85446,3,48668.96,0.08,R,slyly ironic requests 
85442,4,58525.04,0.06,R,carefully even foxes daz
135052,1,20653.95,0.03,R,carefully busy d
9852,2,26427.75,0.03,A,slyly close theodolites play blithely fur
98494,1,58207.11,0.02,N,unusual sentiments ab
177103,2,9440.80,0.09,A,packages detect furiously
155829,3,32041.94,0.06,N,fluffily regular packages use aga
17936,4,46348.25,0.04,N,blithely regular deposits sleep alongside
41466,5,19704.44,0.09,R,regular
105880,6,1885.88,0.07,N,slyly special accounts affix 
56061,1,33562.98,0.07,N,ironic excuses detect fluffily.
15229,2,22884.40,0.03,N,blithely final ideas 
148058,3,16590.75,0.04,N,fluffily final asymptotes wake along 
10371,4,44847.95,0.08,N,furiously reg
101952,5,64480.35,0.02,N,quickly pending acc
132072,1,55203.50,0.02,N,furiously fina
133998,2,60959.70,0.08,N,furiously express instructi
150111,1,18577.76,0.04,A,pending pa
108609,2,54998.40,0.04,R,ruthlessly final deposits sleep fluffil
189967,3,84335.36,0.07,A,carefully express theodolites haggle caref
166377,4,17320.44,0.08,R,slyly even asympt
93857,5,83288.25,0.07,R,regular sauternes
50010,6,3840.04,0.02,R,fluffily ironic accounts cajol
171925,1,7987.68,0.09,N,deposits use. reg
130565,2,4786.68,0.00,N,ironic accounts accordin
198212,3,58959.45,0.06,N,carefully unusual requests along the blith
146071,4,26809.68,0.00,N,quickly ironic packages are
7589,5,46393.98,0.04,N,furiously ironic requests within t
131835,6,22401.96,0.00,A,furiously expr
141233,7,56066.12,0.10,N,carefully ironic a
96909,1,7623.60,0.00,R,furiously final instruc
137802,2,84630.80,0.06,A,quickly final theodol
37309,3,43620.50,0.09,A,packages wake slyly. furiously unusua
40633,4,70813.35,0.10,R,furiously even foxes was blithely sly
117956,5,3947.90,0.07,R,ironic theodolites nag. slyly f
82937,6,92156.64,0.02,A,slyly close deposits haggle quickly under 
117961,7,27705.44,0.09,R,ideas use carefully. silent decoys cajole
165335,1,26606.27,0.05,N,regular
174102,2,28226.40,0.07,N,slyly unusual theodolites wake. caref
4039,1,2829.09,0.10,A,regular packages detect slyly. c
83580,1,31271.60,0.02,R,final accounts integrate. blithe
128904,2,56054.10,0.07,A,slyly pending Ti
78526,3,42126.56,0.02,R,final deposits
176948,4,6074.82,0.02,R,slyly silent deposits sleep carefu
155180,5,40760.94,0.03,R,asymptotes
105393,6,40553.31,0.04,R,furiously fi
185863,1,89647.56,0.09,R,carefully even deposits boos
194908,2,12017.40,0.03,A,quickly silent dependencies wake slyl
7367,3,1274.36,0.07,R,furiously pending pinto beans in
9164,4,47219.04,0.08,R,blithely regular pinto bean
18923,5,14735.36,0.09,R,furiously ironic e
33927,6,14887.36,0.00,R,platelets sleep along the carefully
158356,1,22629.60,0.04,R,slyly express requests are aroun
83359,2,61748.10,0.04,R,carefully regular dolphins
198124,3,61106.00,0.09,A,bold packag
56760,4,53219.56,0.08,A,bold requests boost carefully against the e
88233,1,26867.06,0.09,R,slyly final dependencies acc
118399,2,56695.60,0.10,A,carefully p
129111,3,51304.95,0.02,R,pending package
146229,1,8926.54,0.05,N,blithely unusual inst
106194,1,9601.52,0.00,R,quick theodolites above th
196119,2,48604.40,0.10,A,quickly final platele
161762,3,82069.20,0.07,R,instructions boos
132912,4,60292.21,0.02,A,slyly pending ideas cajole. caref
35959,5,47373.75,0.08,A,slyly regular r
146467,6,54484.56,0.09,A,blithely ironic accounts
98779,1,24888.78,0.00,A,pending
161982,2,28615.72,0.03,R,requests up the packages in
23514,3,60375.42,0.09,R,pending pinto beans are.
195335,4,4290.99,0.08,R,packages must cajole slyly even 
192201,5,7759.20,0.00,R,quickly even accounts haggle carefully
155887,1,97144.00,0.07,N,regular
182736,2,47286.98,0.02,N,quickly even dependen
41222,3,31406.94,0.05,N,express theodolites should en
5337,4,36027.57,0.10,N,accounts haggle. final
95286,5,56376.32,0.01,N,furiously final deposits among the blithely
1349,1,42511.56,0.05,R,quickly even accoun
65662,2,32553.20,0.00,R,quickly final dolphins ought to are-- 
173959,3,56922.60,0.08,R,furiously even in
118455,4,72199.05,0.04,R,blithely express foxes nag. even fo
60469,5,70043.54,0.01,A,final theo
96989,6,39719.60,0.06,A,pinto beans haggle ironic
191186,1,49810.02,0.01,N,ironic deposits 
60074,2,34124.31,0.09,N,theodolites cajole slyly above the fluffil
58695,3,57879.15,0.05,N,quickly unusua
23960,1,41447.12,0.06,R,pending foxes are quickly alongside of the 
84557,2,13873.95,0.08,A,express
142891,3,96694.50,0.06,R,carefully expr
50641,1,49340.84,0.00,N,silently reg
116386,2,68716.62,0.08,N,blithely final 
98833,3,65945.88,0.02,N,slyly even foxes alongside of 
78406,4,26303.60,0.07,N,special requests sleep alongside of the re
161894,5,60632.59,0.10,N,carefully express deposits wake quickly 
173280,1,33832.00,0.07,N,quickly regular theodolites detect a
111800,2,10870.80,0.06,N,furiously 
16996,3,84171.56,0.10,N,slyly even deposits cajole furi
39439,4,66164.64,0.01,N,slyly furious accounts x-ray
46285,5,16006.64,0.10,N,furiously unusual requ
5351,1,43972.25,0.01,R,theodolites
128923,2,3903.84,0.05,A,unusual
1888,3,8949.40,0.03,A,even frays mold. final
123741,4,40589.02,0.05,R,blithely u
122565,1,33338.76,0.05,A,sly theodolites use after th
137316,2,25712.89,0.08,R,thin dolphi
60874,3,55046.10,0.10,R,regular pearls above t
153561,1,12916.48,0.10,R,furiously regular excuses
99249,2,29957.76,0.08,R,ironic instructions 
8960,1,26165.44,0.02,R,regular foxes boost furiously.
186406,2,16416.40,0.10,R,fluffily even platelets upon the special
117267,3,16695.38,0.04,A,dependencies nag blithely. 
59620,1,48968.22,0.00,R,slyly unusual ideas haggle
197507,1,46530.50,0.02,A,express deposits haggle. fluffily
91344,2,34718.84,0.04,R,carefully even p
15283,3,9586.24,0.10,R,ideas haggle. slyly special dolphin
60621,4,41122.12,0.10,A,quickly final acc
4415,1,39582.30,0.05,N,quickly even frets unwind carefully acc
192158,2,16251.95,0.03,N,final
318,1,25584.51,0.01,A,final asymptotes haggle 
140433,2,60410.63,0.08,R,carefully final account
152499,1,18617.88,0.08,A,carefully unusual instructions
43662,2,77071.68,0.02,A,furiously ironi
12673,3,31713.40,0.04,R,ironic instructions are sl
183246,4,13292.40,0.06,R,busy theodolites detect fluffily
11605,5,53081.00,0.07,A,blithely ironic accounts are a
33310,6,3729.93,0.08,A,deposits detect above the slyly fin
37435,7,6862.15,0.01,A,ironic
163628,1,84581.00,0.05,A,bold dependenc
95136,2,20360.34,0.06,R,accounts lose slyl
142725,3,15909.48,0.07,A,ironic
199475,1,40936.22,0.07,R,slyly express packa
158791,1,62892.86,0.09,A,furiously pending instructions a
185139,2,6120.65,0.07,A,unusual theodolites nag quickly agai
18788,3,59737.30,0.07,A,regular de
179094,1,48096.69,0.06,N,deposits cajole am
19480,2,53180.24,0.02,N,furiously final asymptotes boost. quickly 
183739,3,45568.25,0.03,N,quickly even platelets after the 
84836,4,9104.15,0.03,N,furiously ironic packages against the b
34543,5,45803.74,0.04,N,ruthlessly ironic ins
156712,6,72517.11,0.02,N,silent
42134,7,50578.11,0.04,N,carefully even accounts snoo
143503,1,24744.00,0.03,N,regular packages are alongside
41715,2,14910.39,0.09,A,theodolites play along
63762,1,29337.92,0.07,R,fluffily regular theodolites 
119305,1,54296.30,0.00,A,blithely even theodolite
147542,2,46096.66,0.09,A,bold
134318,3,16227.72,0.06,R,carefully express reques
77071,4,48211.22,0.00,A,fluffily silent 
116803,5,16378.20,0.02,A,deposits haggle furiously around the caref
102699,6,66365.91,0.02,A,furiously pending requests pla
49480,1,20012.72,0.08,N,slyly regular accounts aga
193864,2,46988.64,0.01,N,slyly even dependencies alongside of the
58125,3,54156.00,0.08,N,fluffily ironic theodolites wake slyly 
106672,4,11750.69,0.06,N,blithely ironic notornis wake accordi
30527,5,26235.36,0.04,N,quickly thin accounts ha
61082,6,37550.88,0.03,N,carefully express requests use
4660,7,21905.24,0.01,N,ironic accounts sleep fur
113959,1,61161.45,0.09,A,furiously express deposits h
96030,2,42067.23,0.05,A,slyly bold sautern
45214,1,4636.84,0.10,A,carefully ironic deposits detect r
107463,2,70582.08,0.02,R,even dependencies
118002,3,35700.00,0.08,R,express foxes sleep furi
55342,4,53190.94,0.07,A,blithely ironic theodolites integr
124271,5,47924.99,0.05,A,requests ca
113143,1,30059.64,0.06,N,fluffy
185814,2,68393.16,0.07,N,always ironic deposi
164807,3,59897.60,0.05,N,final deposits after the 
190028,1,45838.82,0.06,A,carefully express accounts c
189955,2,65438.40,0.05,A,quickly even instructions wake.
168710,3,71148.40,0.09,A,furiously regul
96557,4,23303.25,0.08,A,blithely idle requests nag c
28629,5,28037.16,0.01,R,deposits affix slyly ideas. boldly f
161283,6,43016.96,0.03,R,fluffily blithe accounts wak
82916,7,85450.95,0.05,A,silent requests along the even asymp
165980,1,61379.40,0.00,A,special theodolites cajole. bl
11158,2,19244.70,0.00,A,accounts doubt special foxes. careful
131463,3,25405.82,0.07,A,furiously ironic accounts haggle
89985,4,75049.24,0.10,R,enticing somas cajole car
167239,5,14368.53,0.01,A,slyly regular ideas sleep
182663,6,40150.18,0.04,R,idly final theodolites haggle quickly. p
178442,1,57776.72,0.07,R,carefully final 
63342,2,63961.66,0.09,A,ironic
181502,3,17418.50,0.02,A,packages shall sleep fluffily! sly
92053,4,11495.55,0.00,R,carefully 
131403,5,20081.60,0.08,R,bold
166446,1,10587.08,0.05,N,pending
53025,2,44988.92,0.08,N,slow notornis wake slyly quickly fin
152405,1,56838.60,0.10,A,unusual
68123,2,17457.92,0.06,A,fluffily regular packages use slyly
130081,3,41109.96,0.09,A,carefully regular foxe
136667,1,1703.66,0.08,N,slyly regular courts are slyly pac
152800,2,77817.60,0.07,N,regular
96392,3,55535.60,0.09,N,slyly final reque
55927,4,35775.48,0.08,N,slyly bold deposits kindle carefully
148313,5,43561.92,0.08,N,final asymptotes sleep at the silent
32590,1,63948.78,0.05,R,special accounts are slyly. expres
127808,2,84446.80,0.07,A,quickly even requests haggle furiously rut
64486,3,58019.20,0.06,A,quickly regular packages integrate. quickl
189295,1,2768.58,0.09,R,ironic requests wak
106523,1,15295.20,0.02,N,slyly regular dependencies wake aft
123353,2,23397.95,0.09,N,slyly special packages haggle slyly unusual
183266,3,62065.96,0.07,N,blithely express deposits slee
141937,4,83115.06,0.01,N,express requ
127657,5,21900.45,0.02,N,special ideas afte
124632,6,18222.93,0.09,N,blithely silent
84937,7,46126.32,0.05,N,regular
121586,1,22506.12,0.09,R,slyly ironic packages nag f
93563,1,38914.00,0.00,A,furiously bold ideas boost furiou
110869,2,41356.92,0.10,R,final excuses are above the express asympt
174101,3,29377.50,0.07,R,furiously bold acc
39560,1,58482.84,0.01,A,special accounts detect f
69212,2,21261.78,0.00,R,ironic
44192,3,46583.79,0.10,R,quick requests cajole ruthlessl
131087,4,2236.16,0.01,R,carefully regular pin
18552,1,45587.05,0.00,N,carefully regula
1062,2,963.06,0.04,N,blithely u
34829,3,5291.46,0.04,N,special instructions wake
152691,1,57541.77,0.05,N,final instructions hagg
64192,2,36998.08,0.01,N,furiously careful deposits nag 
70495,3,21982.35,0.07,N,blithely even
8756,4,24971.25,0.01,N,requests above the quickly regular 
148401,5,24639.80,0.01,N,regular platelet
100885,1,9429.40,0.04,N,furiously regular theodolites haggle sly
161079,2,25081.54,0.05,N,express pinto beans wake quickly furi
47557,3,67704.75,0.09,N,pinto beans haggle carefully. even platele
74795,4,21237.48,0.08,N,carefully regul
72918,5,69963.67,0.02,N,pending accounts are slyly final 
123736,6,70389.20,0.01,N,slyly regular packa
15978,7,73864.83,0.00,N,slyly even packages affix blithely alo
133070,1,1103.07,0.02,R,final
151816,1,46695.25,0.10,N,unusual
170666,2,17366.60,0.02,N,pending depend
175984,3,94759.08,0.09,N,slyly silent acc
161622,4,42090.50,0.10,N,quickly final p
131890,1,51891.03,0.06,N,even
125197,1,4888.76,0.00,N,even
172359,2,65842.10,0.05,N,carefully regular re
26809,3,60753.00,0.10,N,quickly even package
169045,4,8912.32,0.10,N,carefully regula
137283,5,30366.44,0.02,N,blithely ironic sentiments after the stea
151908,1,23518.80,0.02,N,accounts a
108408,2,5665.60,0.10,N,bold frays haggle
9982,3,5675.94,0.07,N,fluffily regular deposits are sly
157659,4,37766.30,0.07,N,sheaves sleep bl
161582,1,69030.36,0.03,N,silent sentiments across the 
106298,2,6521.45,0.03,A,ironic deposits
142528,3,50256.64,0.06,N,final
56267,4,48930.40,0.05,R,furiously dogged asymptotes
78048,5,2052.08,0.09,A,even accounts haggle carefull
152726,6,58697.76,0.08,R,fluffily final instructions 
129532,1,56215.08,0.02,N,hockey players wake furiou
32028,2,40320.84,0.05,N,fluffily final requests haggle furiously b
86136,3,1122.13,0.07,N,bold foxes integrate? final pinto beans acc
76558,4,42967.40,0.04,N,carefully even theodolites boost. pinto be
114639,1,3307.26,0.04,N,blithely even requests integrate fu
197917,1,90670.95,0.01,N,fluffily regular accounts detect 
175131,2,45832.94,0.08,N,boldly regular pinto beans haggle fu
13144,3,40171.32,0.10,N,pinto beans are furiously un
95748,4,78468.30,0.10,N,accounts hang 
25722,5,52727.04,0.04,N,furiously qu
94318,6,36744.68,0.07,N,blithely regular accounts slee
117595,1,38702.16,0.06,N,ironic asymptotes detect-- bo
156485,1,64742.16,0.10,N,regular
27230,2,50918.12,0.05,N,quickly express instructions
48360,3,58876.20,0.04,N,slyly final accounts sleep a
170012,4,11902.11,0.01,N,slyly ironic foxes above the furiou
52148,1,24203.08,0.04,A,foxes thrash closely according to the 
18649,1,26649.88,0.07,A,regular theodolites try to boost dari
20646,2,29766.16,0.08,R,carefully unusual accounts b
185785,3,78572.76,0.08,A,furiously re
81009,4,10890.00,0.05,A,foxes are. dogge
111956,5,61006.45,0.05,A,quickly ironic ideas s
137343,1,44170.88,0.00,N,bold instructions use slowly alongside 
121382,2,1403.38,0.05,N,slyly even requests nag quickly around the
61141,3,34166.34,0.04,N,even requests use. co
195826,4,15374.56,0.02,N,regular ac
38215,5,53047.66,0.01,N,carefully regul
78696,6,31819.11,0.04,N,blithely pending accounts against the pe
32694,1,13013.52,0.00,N,quickly pending in
79758,2,39968.25,0.04,N,quickly regular acc
87745,3,15594.66,0.04,N,unusual
30133,1,52093.37,0.10,N,slyly special frays haggle about 
31950,2,84687.75,0.06,N,even attainments alongs
183351,3,71717.50,0.06,N,express accounts against the carefully 
164805,4,41135.60,0.07,N,blithely ironic re
76308,5,61646.40,0.00,N,furiously regular accou
96871,6,18678.70,0.01,N,slyly final
149523,1,78626.00,0.01,N,blithely ironic requests 
27973,2,76038.80,0.08,N,furiously regular requests wake. expres
136884,3,42259.36,0.00,N,even ideas detect. unusual deposits are 
75437,1,50847.48,0.00,N,slyly express deposits among the daring
67040,2,40281.60,0.03,N,regular requests across the bli
135912,3,50645.66,0.04,N,quick foxes wake. blithely daring requ
71865,4,69800.68,0.08,N,blithely regular packages are slyly. 
28099,5,3081.27,0.07,N,unusual foxes boost furiou
46543,6,68518.84,0.00,N,brave accou
91896,1,88730.83,0.06,R,quickly ironic deposits wake quick
82099,2,2162.18,0.02,R,slyly final th
188804,1,35963.20,0.08,N,unusual
22847,2,65484.08,0.01,N,regular accounts wake quickly. furious
